book_id;publication_year;availability
1;2014;TRUE
2;2003;TRUE
3;2014;TRUE
4;1999;TRUE
5;2017;FALSE
6;2017;FALSE
7;2014;FALSE
8;2017;TRUE
9;2017;FALSE
10;2016;TRUE
11;2015;FALSE
12;2016;TRUE
13;2008;TRUE
14;2016;TRUE
15;2000;FALSE
16;2000;FALSE
17;2014;FALSE
18;2014;TRUE
19;2008;TRUE
20;2004;FALSE
20;2004;TRUE
20;2004;TRUE
21;2012;FALSE
22;1983;FALSE
23;2014;TRUE
24;2011;FALSE
25;2005;FALSE
26;2012;TRUE
27;1973;FALSE
28;2016;FALSE
28;2016;TRUE
28;2016;TRUE
29;1958;TRUE
30;2009;TRUE
31;2016;FALSE
31;2016;TRUE
32;1982;TRUE
32;1982;TRUE
33;1974;TRUE
34;2012;FALSE
35;2001;TRUE
36;2016;FALSE
37;2009;TRUE
38;2017;FALSE
39;1981;FALSE
40;2013;FALSE
41;2014;TRUE
42;2014;TRUE
43;2016;TRUE
44;2011;FALSE
45;2017;TRUE
46;2015;TRUE
46;2015;TRUE
47;2000;TRUE
47;2000;FALSE
48;2012;TRUE
49;2013;FALSE
50;2017;TRUE
51;2013;TRUE
52;2016;FALSE
53;2007;TRUE
54;1945;FALSE
55;2016;FALSE
55;2016;FALSE
55;2016;FALSE
55;2016;FALSE
56;2012;TRUE
57;1994;FALSE
57;1994;TRUE
58;1974;FALSE
59;2001;FALSE
60;1905;TRUE
61;1995;FALSE
62;2011;FALSE
63;2011;TRUE
64;2011;TRUE
65;2002;FALSE
66;2010;FALSE
66;2010;FALSE
66;2010;FALSE
67;2012;FALSE
68;1990;FALSE
69;2003;FALSE
70;2011;TRUE
71;1998;TRUE
72;2013;TRUE
73;2009;FALSE
74;2013;TRUE
75;1937;FALSE
75;1937;TRUE
75;1937;TRUE
76;1889;TRUE
77;2014;TRUE
78;2001;TRUE
79;2014;FALSE
80;2013;TRUE
81;2011;TRUE
82;2015;FALSE
83;1989;FALSE
84;1998;TRUE
84;1998;FALSE
85;2015;FALSE
85;2015;TRUE
86;2006;TRUE
87;2011;FALSE
88;2014;FALSE
88;2014;TRUE
89;1932;TRUE
90;2015;FALSE
91;2015;FALSE
92;1999;FALSE
93;2017;TRUE
94;2014;FALSE
95;2014;TRUE
96;2012;TRUE
97;2001;TRUE
98;2012;FALSE
99;2010;FALSE
100;2010;TRUE
101;1909;TRUE
102;2017;FALSE
103;1956;FALSE
104;2014;TRUE
105;2011;FALSE
106;2013;TRUE
106;2013;FALSE
107;2010;FALSE
108;2006;TRUE
109;2012;TRUE
110;2016;FALSE
111;2015;FALSE
112;2013;TRUE
113;2009;FALSE
114;2005;FALSE
115;2017;FALSE
116;2012;FALSE
117;2016;TRUE
117;2016;FALSE
118;2012;TRUE
119;2016;FALSE
120;2015;TRUE
121;2012;TRUE
122;2011;FALSE
122;2011;TRUE
123;2007;TRUE
124;2013;TRUE
125;2002;TRUE
126;2016;FALSE
127;2011;TRUE
127;2011;FALSE
128;2012;FALSE
129;2014;TRUE
130;2017;FALSE
131;2011;TRUE
132;1947;FALSE
133;2013;TRUE
134;2017;TRUE
135;2012;TRUE
136;2016;TRUE
137;2017;TRUE
138;1998;TRUE
138;1998;FALSE
139;1968;TRUE
140;2015;FALSE
140;2015;FALSE
141;2013;TRUE
141;2013;TRUE
142;2016;TRUE
143;2016;TRUE
144;1992;FALSE
145;2016;TRUE
146;2000;TRUE
147;2010;FALSE
147;2010;TRUE
148;2004;TRUE
149;1985;TRUE
150;2016;TRUE
151;2014;FALSE
152;2012;TRUE
153;2015;FALSE
154;1985;TRUE
155;2010;FALSE
156;2014;TRUE
157;1962;TRUE
158;2016;TRUE
159;2007;TRUE
160;1926;TRUE
161;2012;TRUE
162;1986;TRUE
163;2008;FALSE
164;2016;FALSE
165;2016;TRUE
166;2016;TRUE
166;2016;TRUE
167;2015;TRUE
168;2012;FALSE
169;2013;FALSE
170;2013;TRUE
171;1853;TRUE
172;2015;FALSE
172;2015;FALSE
173;2014;TRUE
173;2014;TRUE
174;1995;TRUE
175;2016;FALSE
176;2012;FALSE
177;2010;FALSE
178;1906;FALSE
178;1906;TRUE
178;1906;TRUE
179;2006;TRUE
180;2007;TRUE
181;1928;FALSE
182;2011;FALSE
183;2008;TRUE
184;2017;FALSE
185;2012;TRUE
185;2012;FALSE
186;2007;FALSE
187;1986;FALSE
188;2016;FALSE
189;2016;TRUE
190;2014;FALSE
191;2006;FALSE
192;2002;FALSE
193;2009;TRUE
194;2010;TRUE
194;2010;TRUE
195;2011;TRUE
196;2013;FALSE
197;2015;TRUE
198;2016;TRUE
199;1967;FALSE
200;2015;TRUE
201;1996;TRUE
202;2016;FALSE
203;2013;TRUE
204;2013;TRUE
204;2013;FALSE
205;2013;TRUE
206;2017;FALSE
207;2014;TRUE
208;2015;TRUE
209;2015;TRUE
210;2015;TRUE
211;2012;FALSE
212;2016;TRUE
213;1979;FALSE
214;2014;TRUE
215;2015;TRUE
216;2014;TRUE
216;2014;TRUE
217;2017;FALSE
218;1971;TRUE
218;1971;TRUE
218;1971;TRUE
218;1971;FALSE
219;2015;FALSE
220;2013;TRUE
221;2007;FALSE
222;1999;TRUE
223;2010;FALSE
224;2015;TRUE
225;1906;FALSE
226;2012;FALSE
227;2009;FALSE
228;1962;TRUE
229;2016;FALSE
230;2014;FALSE
231;1996;FALSE
232;2012;TRUE
233;2007;FALSE
234;1931;FALSE
235;2015;FALSE
236;1996;TRUE
237;1993;FALSE
238;2014;TRUE
239;2015;TRUE
240;2013;TRUE
241;2016;FALSE
242;2007;TRUE
243;2003;FALSE
244;1991;FALSE
244;1991;TRUE
244;1991;TRUE
245;1993;TRUE
246;2008;FALSE
247;2003;TRUE
248;2010;TRUE
249;2014;TRUE
250;2012;TRUE
251;2014;FALSE
252;1994;FALSE
253;2000;TRUE
254;2004;FALSE
255;1993;FALSE
256;2007;TRUE
257;2005;FALSE
258;2012;TRUE
259;2017;FALSE
260;2008;TRUE
261;1948;FALSE
262;2017;FALSE
263;2000;TRUE
264;2005;FALSE
265;2010;TRUE
266;1993;TRUE
267;2014;TRUE
268;2009;FALSE
269;2012;TRUE
270;1996;FALSE
271;2016;TRUE
272;1988;FALSE
273;2016;TRUE
273;2016;TRUE
274;2012;TRUE
275;2002;TRUE
276;2005;TRUE
277;1903;TRUE
278;2013;FALSE
279;1995;FALSE
280;2008;TRUE
281;2010;TRUE
282;2015;FALSE
282;2015;FALSE
283;1992;FALSE
284;2017;TRUE
285;1995;TRUE
286;2004;FALSE
287;2009;TRUE
288;2013;TRUE
289;1937;TRUE
290;1996;TRUE
291;2015;TRUE
292;2002;TRUE
293;2012;FALSE
294;2015;FALSE
295;2016;FALSE
296;1993;FALSE
297;1968;FALSE
298;1991;FALSE
299;2015;TRUE
300;2016;FALSE
301;1987;FALSE
302;1958;TRUE
302;1958;FALSE
303;2015;TRUE
304;2005;TRUE
305;2014;TRUE
306;2000;FALSE
307;2017;TRUE
308;2013;FALSE
309;2014;TRUE
310;2015;TRUE
311;2011;TRUE
312;1994;FALSE
313;2008;FALSE
314;2014;FALSE
315;1999;TRUE
316;2017;FALSE
317;2012;TRUE
318;2009;FALSE
319;2008;FALSE
320;2013;TRUE
321;1981;TRUE
322;2010;TRUE
323;2017;TRUE
323;2017;TRUE
323;2017;FALSE
323;2017;FALSE
324;1986;FALSE
324;1986;TRUE
325;2010;FALSE
326;2016;FALSE
327;2004;TRUE
328;1955;FALSE
329;1999;TRUE
330;1970;TRUE
331;2016;TRUE
332;2011;FALSE
332;2011;TRUE
333;2017;FALSE
334;2012;TRUE
335;1993;FALSE
336;2017;TRUE
337;2016;TRUE
338;2016;FALSE
339;2014;TRUE
340;1949;FALSE
341;2013;TRUE
342;2010;FALSE
342;2010;TRUE
343;2014;FALSE
344;2010;FALSE
345;2005;TRUE
346;2015;FALSE
347;2008;FALSE
348;2015;TRUE
349;2009;TRUE
350;2000;TRUE
351;2014;TRUE
352;2013;FALSE
352;2013;TRUE
353;2010;FALSE
354;2016;TRUE
354;2016;TRUE
355;2012;TRUE
356;2010;TRUE
357;2012;TRUE
358;2006;TRUE
359;2002;TRUE
359;2002;TRUE
360;2010;FALSE
361;2014;TRUE
362;2008;TRUE
362;2008;TRUE
363;2017;TRUE
364;2011;TRUE
365;2013;TRUE
365;2013;FALSE
366;2006;TRUE
367;2015;FALSE
368;2009;FALSE
369;2007;FALSE
369;2007;FALSE
370;2006;FALSE
371;2011;TRUE
372;2011;FALSE
373;2009;FALSE
374;2016;FALSE
375;2015;FALSE
376;2005;TRUE
377;2003;TRUE
378;1986;FALSE
379;2015;TRUE
380;2000;FALSE
381;2007;TRUE
382;2014;FALSE
383;2001;TRUE
384;2013;FALSE
385;1996;TRUE
386;2015;TRUE
387;2007;FALSE
388;2014;FALSE
388;2014;TRUE
389;1881;TRUE
390;2016;FALSE
391;2015;TRUE
392;2016;TRUE
393;2010;TRUE
394;2017;TRUE
395;2013;TRUE
396;2005;TRUE
397;2015;TRUE
397;2015;TRUE
398;2010;TRUE
398;2010;TRUE
399;2011;TRUE
400;2003;FALSE
401;2017;FALSE
402;2001;FALSE
403;2013;FALSE
404;2008;TRUE
405;2016;TRUE
406;2006;TRUE
407;2010;TRUE
408;1992;FALSE
409;2007;TRUE
410;2007;FALSE
411;2008;TRUE
412;2008;TRUE
413;2013;TRUE
414;2011;FALSE
415;1992;TRUE
416;2006;TRUE
417;2011;FALSE
418;2005;FALSE
419;2012;FALSE
420;2011;FALSE
421;1983;FALSE
422;2012;TRUE
423;2014;FALSE
424;2011;TRUE
425;1919;FALSE
426;1989;FALSE
427;2004;FALSE
428;2016;FALSE
429;2015;FALSE
430;2016;TRUE
431;2003;FALSE
432;1979;FALSE
433;2016;TRUE
434;2009;TRUE
