member_id;book_copy_id;staff_id;issue_date;due_date;returned_or_not
857;89872;5;2022-10-25;2022-11-09;TRUE
695;84688;6;2019-11-24;2019-12-09;TRUE
502;548;6;2018-11-15;2018-11-30;TRUE
264;19646;1;2020-02-06;2020-02-21;TRUE
436;92815;1;2021-03-27;2021-04-11;TRUE
459;5836;3;2018-10-21;2018-11-05;TRUE
414;46966;2;2020-04-04;2020-04-19;TRUE
496;31329;3;2022-08-03;2022-08-18;TRUE
920;113295;1;2019-03-18;2019-04-02;TRUE
912;93469;7;2020-03-15;2020-03-30;TRUE
65;67698;7;2022-03-27;2022-04-11;TRUE
180;73308;7;2022-07-04;2022-07-19;TRUE
740;77214;2;2018-07-27;2018-08-11;TRUE
153;16965;2;2020-03-04;2020-03-19;TRUE
406;71801;6;2020-02-25;2020-03-11;TRUE
201;61853;4;2020-09-04;2020-09-19;TRUE
282;81274;3;2019-05-28;2019-06-12;TRUE
48;76687;3;2017-11-26;2017-12-11;TRUE
298;93282;3;2019-04-06;2019-04-21;TRUE
664;26792;1;2020-06-20;2020-07-05;TRUE
847;16954;5;2022-11-23;2022-12-08;TRUE
657;94873;4;2021-09-17;2021-10-02;TRUE
438;88679;3;2022-08-12;2022-08-27;TRUE
484;30074;1;2021-04-22;2021-05-07;TRUE
294;117584;5;2021-05-09;2021-05-24;TRUE
193;107767;1;2021-06-01;2021-06-16;TRUE
611;37996;7;2017-10-22;2017-11-06;TRUE
996;77238;4;2018-06-02;2018-06-17;TRUE
523;114274;6;2019-04-28;2019-05-13;TRUE
952;115213;1;2022-04-11;2022-04-26;TRUE
558;75790;6;2019-01-17;2019-02-01;TRUE
596;118302;1;2018-04-17;2018-05-02;TRUE
833;62024;4;2020-01-24;2020-02-08;TRUE
363;111539;3;2022-03-14;2022-03-29;TRUE
588;73949;1;2019-04-04;2019-04-19;TRUE
928;45831;1;2023-09-04;2023-09-19;TRUE
458;27854;6;2020-11-06;2020-11-21;TRUE
83;96635;3;2018-05-03;2018-05-18;TRUE
712;94561;4;2023-07-28;2023-08-12;TRUE
470;6834;2;2023-11-04;2023-11-19;TRUE
22;73725;5;2021-05-20;2021-06-04;TRUE
591;15320;5;2022-06-04;2022-06-19;TRUE
873;34099;2;2022-09-04;2022-09-19;TRUE
617;95082;6;2019-12-18;2020-01-02;TRUE
852;88976;4;2022-08-17;2022-09-01;TRUE
66;103404;2;2019-08-25;2019-09-09;TRUE
782;112191;5;2023-07-24;2023-08-08;TRUE
800;49520;6;2018-01-26;2018-02-10;TRUE
318;117564;2;2018-03-17;2018-04-01;TRUE
385;45419;5;2018-08-07;2018-08-22;TRUE
656;1647;1;2022-09-16;2022-10-01;TRUE
42;6089;4;2022-04-11;2022-04-26;TRUE
94;31964;3;2023-05-17;2023-06-01;TRUE
289;65925;7;2020-06-11;2020-06-26;TRUE
651;29571;7;2021-11-05;2021-11-20;TRUE
159;12674;4;2019-04-26;2019-05-11;TRUE
664;87859;3;2023-04-09;2023-04-24;TRUE
902;11795;1;2019-11-04;2019-11-19;TRUE
52;4765;4;2020-08-30;2020-09-14;TRUE
130;91512;5;2023-07-03;2023-07-18;TRUE
999;75227;1;2022-07-12;2022-07-27;TRUE
18;71192;1;2023-06-29;2023-07-14;TRUE
46;99352;7;2022-10-25;2022-11-09;TRUE
527;65517;7;2020-02-14;2020-02-29;TRUE
307;67866;4;2022-11-19;2022-12-04;TRUE
501;51681;5;2021-10-23;2021-11-07;TRUE
670;83809;1;2018-02-23;2018-03-10;TRUE
705;116470;2;2020-04-22;2020-05-07;TRUE
99;14104;3;2020-05-07;2020-05-22;TRUE
109;91658;4;2023-05-25;2023-06-09;TRUE
507;26680;4;2023-09-29;2023-10-14;FALSE
686;70131;4;2020-10-15;2020-10-30;TRUE
117;40794;1;2020-10-02;2020-10-17;TRUE
580;22584;7;2020-10-29;2020-11-13;TRUE
281;7815;6;2019-03-07;2019-03-22;TRUE
380;31876;5;2019-02-01;2019-02-16;TRUE
692;66090;7;2023-05-23;2023-06-07;TRUE
923;79860;4;2023-08-13;2023-08-28;TRUE
757;41752;1;2020-07-11;2020-07-26;TRUE
658;9400;6;2018-09-16;2018-10-01;TRUE
830;27132;5;2020-09-11;2020-09-26;TRUE
370;58763;2;2019-06-21;2019-07-06;TRUE
713;93741;2;2021-11-29;2021-12-14;TRUE
52;87890;7;2018-02-16;2018-03-03;TRUE
969;560;5;2021-10-24;2021-11-08;TRUE
15;114842;7;2020-10-18;2020-11-02;TRUE
507;45626;7;2020-12-06;2020-12-21;TRUE
667;70119;1;2020-10-21;2020-11-05;TRUE
780;64282;6;2019-08-01;2019-08-16;TRUE
251;115576;7;2019-04-11;2019-04-26;TRUE
683;34155;1;2019-03-12;2019-03-27;TRUE
438;62488;5;2021-01-28;2021-02-12;TRUE
774;35322;2;2020-10-04;2020-10-19;TRUE
676;1322;7;2019-07-31;2019-08-15;TRUE
343;27637;3;2022-01-26;2022-02-10;TRUE
705;23898;1;2021-03-29;2021-04-13;TRUE
389;63051;4;2018-03-15;2018-03-30;TRUE
288;17582;1;2020-12-16;2020-12-31;TRUE
708;106544;3;2021-06-14;2021-06-29;TRUE
142;32539;7;2020-03-03;2020-03-18;TRUE
591;65375;1;2021-02-08;2021-02-23;TRUE
688;71054;6;2021-01-13;2021-01-28;TRUE
725;12155;1;2023-12-12;2023-12-27;FALSE
276;43913;6;2020-11-05;2020-11-20;TRUE
251;59285;5;2022-06-23;2022-07-08;TRUE
856;105953;6;2022-11-11;2022-11-26;TRUE
928;69729;4;2017-10-30;2017-11-14;TRUE
474;81015;7;2018-08-07;2018-08-22;TRUE
743;89835;6;2018-09-15;2018-09-30;TRUE
686;34572;6;2023-06-23;2023-07-08;TRUE
221;11360;5;2021-05-31;2021-06-15;TRUE
835;82347;2;2023-04-13;2023-04-28;TRUE
751;118607;1;2022-05-23;2022-06-07;TRUE
53;104079;7;2022-07-28;2022-08-12;TRUE
403;17582;3;2019-05-12;2019-05-27;TRUE
578;6218;4;2019-04-19;2019-05-04;TRUE
163;41194;7;2022-01-16;2022-01-31;TRUE
764;71186;6;2019-07-08;2019-07-23;TRUE
768;71011;3;2018-08-29;2018-09-13;TRUE
825;80405;2;2023-09-13;2023-09-28;FALSE
951;76362;1;2020-08-08;2020-08-23;TRUE
60;44424;3;2020-02-12;2020-02-27;TRUE
856;20503;4;2018-12-17;2019-01-01;TRUE
908;47181;3;2018-02-10;2018-02-25;TRUE
301;76174;4;2022-11-11;2022-11-26;TRUE
430;39607;6;2020-07-26;2020-08-10;TRUE
551;55832;6;2019-02-06;2019-02-21;TRUE
921;116096;7;2023-04-21;2023-05-06;TRUE
522;92666;3;2019-05-11;2019-05-26;TRUE
697;14527;6;2019-09-24;2019-10-09;TRUE
636;7051;3;2022-10-11;2022-10-26;TRUE
330;72075;1;2018-08-25;2018-09-09;TRUE
280;5005;1;2020-10-11;2020-10-26;TRUE
976;108953;3;2018-08-27;2018-09-11;TRUE
889;6801;4;2021-10-01;2021-10-16;TRUE
392;76097;4;2023-07-08;2023-07-23;TRUE
326;43568;4;2018-04-11;2018-04-26;TRUE
542;57478;7;2018-09-04;2018-09-19;TRUE
551;11569;1;2019-07-08;2019-07-23;TRUE
291;49856;6;2020-02-08;2020-02-23;TRUE
515;12656;2;2018-10-15;2018-10-30;TRUE
449;45528;6;2021-03-12;2021-03-27;TRUE
155;28125;1;2021-09-14;2021-09-29;TRUE
168;95303;2;2020-03-16;2020-03-31;TRUE
431;22334;7;2021-06-14;2021-06-29;TRUE
164;32608;7;2019-07-13;2019-07-28;TRUE
496;8418;3;2017-12-07;2017-12-22;TRUE
512;71284;3;2020-11-19;2020-12-04;TRUE
535;69258;2;2018-05-29;2018-06-13;TRUE
664;70617;5;2021-09-05;2021-09-20;TRUE
979;47032;6;2022-05-02;2022-05-17;TRUE
48;115007;7;2022-11-30;2022-12-15;TRUE
156;52541;1;2023-04-13;2023-04-28;TRUE
501;78929;2;2023-04-30;2023-05-15;TRUE
793;14349;4;2020-06-08;2020-06-23;TRUE
922;18104;6;2018-08-29;2018-09-13;TRUE
775;6173;1;2020-07-31;2020-08-15;TRUE
12;27777;2;2023-01-05;2023-01-20;TRUE
359;68937;5;2019-05-20;2019-06-04;TRUE
148;40843;1;2018-09-06;2018-09-21;TRUE
453;23028;4;2021-05-04;2021-05-19;TRUE
18;43290;4;2023-11-22;2023-12-07;FALSE
